architecture,sample,true_f1_hz,inferred_f1_hz,true_f2_hz,inferred_f2_hz,true_phase1,inferred_phase1,particle_ess
Analytical joint score,31,53.100075863980216,53.813504903505155,53.94232310358573,50.30285545895448,2.487216771367267,3.305913063666421,64.0
Analytical joint score,32,52.90383005269381,53.84404901576798,53.71120474803006,50.288340775405096,4.919286484748894,5.957280772784686,59.69028667976278
Analytical joint score,33,52.48668526655938,53.887875246603635,53.8439862645234,50.150807991736414,1.1272049452443422,2.3055487804601023,53.35878311779748
Analytical joint score,34,52.832819530575925,53.917223074837096,53.842008402784415,50.16866117601166,3.634000151609873,4.925361236691947,64.0
Analytical joint score,35,52.56766944496165,53.98328827442735,53.79992320263539,50.16137452058892,6.233143925799666,1.3011919022576048,64.0
Analytical joint score,36,52.69347615969774,43.253461322045055,62.059766601165,50.890166816393766,2.534463589355772,3.4159335242065505,50.33343576426673
Analytical joint score,37,52.94559914653038,53.14885626197715,61.47126205869289,51.21220292278659,5.039373073614044,0.3489338313352668,64.0
Analytical joint score,38,53.71188673887665,53.99297211413192,61.96549122478786,53.231210392139246,1.4440384570891798,3.097719262360782,42.98599256161786
Analytical joint score,39,53.49540115114188,53.81080931326207,61.8927588586883,56.58534380773431,4.071714941008886,5.775084461546944,64.0
Analytical joint score,40,53.14243054887955,54.02343347447007,61.50896619610087,56.93869975822111,0.3811171543585212,2.126181213328028,59.75758554102327
Analytical joint score,41,53.323154540878086,53.893804625727505,61.486847237685346,60.633806467712645,2.9403043921643905,4.526586259338241,64.0
Analytical joint score,42,54.037928085347,53.86950517690084,61.009644323981775,61.512113533893356,5.5146906549137436,0.7938383968887605,52.911618250501085
Analytical joint score,43,54.0925555088724,53.92030297585996,61.041988494628505,62.3376354981618,1.9524860425732342,3.3151596645032124,64.0
Analytical joint score,44,54.013775528932946,53.94098618513641,61.70675565002279,62.29836340634252,4.6486181138154,6.007441970218689,58.381769805356264
Analytical joint score,45,53.722602212849516,54.05205737028347,62.19376310814402,62.274840139806706,0.9018187270981821,2.3392091554529557,57.392069587374955
Analytical joint score,46,53.22113492767943,53.98708922839571,61.88157541009545,62.30885035840659,3.4723961478783187,4.8590546518464635,64.0
Analytical joint score,47,52.984598271323925,53.86408767512313,61.694225917994586,62.09007211670399,6.110225896158375,1.100791022299021,64.0
Analytical joint score,48,42.03950496120961,46.649853937767745,42.17195864457672,56.84040397516914,1.9575005372396017,3.3005958689902375,64.0
Analytical joint score,49,41.99969607120447,46.772737446145904,41.66372462192401,56.49651971894398,4.053335337344601,5.951881392112974,42.71994106353905
Analytical joint score,50,42.505058415619445,47.89877051004487,41.60489460446836,49.64346976700986,6.156889994932447,2.272943960962217,64.0
Analytical joint score,51,41.78933787263912,41.281406929629235,41.594396321088496,43.61077622154239,1.8701681544433253,2.7457225140941066,64.0
Analytical joint score,52,41.3736611485118,42.21895124810506,41.66141563843149,42.328694357193555,3.8315522809924953,4.8433575038230146,52.39528812170481
Analytical joint score,53,40.522245942028974,41.88969095579193,41.75154949148791,42.30678120589722,5.671076434435297,0.5675603034724233,64.0
Analytical joint score,54,40.6383236487516,44.801744061781996,41.382789653947825,42.25953911101257,1.3831388241064335,2.250003204824413,64.0
Analytical joint score,55,40.87436996689548,51.589943164574805,41.76822791510782,42.02110960233658,3.476773153541618,3.486145574673439,64.0
Analytical joint score,56,40.97821840824201,53.064238961868725,41.73797215806586,41.99272857758006,5.421233095769163,5.978068441435456,45.989966583431915
Analytical joint score,57,40.79105342334534,53.28990296463457,41.52242710924734,42.078009190662485,1.2201121565442579,2.3094733192279375,42.794328437118885
Analytical joint score,58,41.88623424056396,53.46569694423986,41.25498645108873,42.12399883888782,3.377040959720522,4.936317539943649,37.929520827589805
Analytical joint score,59,41.78826795610033,53.6255335926844,40.419726533733495,41.865906227295994,5.372332337698891,1.3111081765267336,64.0
Amortized joint surrogate,0,41.484265982590934,38.41528341527816,54.22341400722091,52.091507529563785,3.003043713912709,2.0722403812079557,64.0
Amortized joint surrogate,1,41.514189290053636,26.70161928749128,53.99084748045632,50.33230195941791,5.157567700987222,4.1143632389620866,64.0
Amortized joint surrogate,2,41.438093325164914,46.256820159677375,54.27018534710655,50.908370937553244,0.8246745390239001,0.9457880185831365,64.0
Amortized joint surrogate,3,40.57451877085865,46.47010451303368,54.40927988434361,51.1190153820676,2.925444011994778,3.3355307137519965,48.28960123965763
Amortized joint surrogate,4,40.91122163187984,42.1551624564446,53.820076215411056,51.84120408150919,4.879157639783413,1.9598789392177811,64.0
Amortized joint surrogate,5,40.93689487283392,49.41575791763125,53.4836467541475,50.3346543940742,0.5879143247286782,3.3963811976944536,64.0
Amortized joint surrogate,6,41.71835835605753,48.67925273355446,53.492399744503096,50.58881793271907,2.643841837468828,6.035297160602108,44.472624938545636
Amortized joint surrogate,7,41.88937808343153,51.83951083111489,53.049473705464166,49.99087258071781,4.756217958029735,2.2193121519861285,64.0
Amortized joint surrogate,8,42.057407308243995,52.2225161279645,52.36594305414012,50.04564678223007,0.5856682628468866,4.8508034400323945,43.269885868611205
Amortized joint surrogate,9,42.739696768935964,48.74995089284113,51.818082530369715,50.71866049877423,2.6804694401101887,1.157263230335074,64.0
Amortized joint surrogate,10,42.92609000124223,41.670814892579145,52.57363409380773,52.235921353486425,4.744082996762291,4.92474592193304,64.0
Amortized joint surrogate,11,42.43449434451241,38.38702773836634,52.89442581108325,52.714680544397574,0.4455560871824611,0.8329803175063789,64.0
Amortized joint surrogate,12,54.08988120697802,36.796808850875294,52.758730401122286,52.72740761616641,3.173260360835629,2.6837873992526924,45.38579860733123
Amortized joint surrogate,13,53.19108407628633,44.27371949358442,52.84566159050136,53.77735089332257,5.950551857932016,5.133765163093291,64.0
Amortized joint surrogate,14,53.58217315793386,46.329260574132455,52.83926997853058,53.41311357147011,2.2815310664310946,1.823091665696746,53.29508778584047
Amortized joint surrogate,15,53.58635646576638,43.52135414994404,53.38615025862689,52.4361638756649,4.9235447922877915,4.853138571710786,41.35770197166853
Amortized joint surrogate,16,52.82677152538897,45.37787496034358,53.89593110094835,52.098525555287985,1.2260282312777173,1.3437656331625112,64.0
Amortized joint surrogate,17,53.4681394985052,50.874471910971934,53.338267708253746,50.48715147898412,3.84665041447997,3.6952802421403566,64.0
Amortized joint surrogate,18,52.80528047374749,51.30773978540153,53.485185675176325,50.96733513865741,0.09014007517669054,6.2244798761373685,60.00328476923413
Amortized joint surrogate,19,52.96556536284588,53.76621284572771,53.666173324628176,51.917735551755946,2.737084412758525,2.7302018621515094,64.0
Amortized joint surrogate,20,52.86968129913392,53.7697437731493,53.83881519689796,51.94485162900922,5.182658580632651,5.332247327811411,57.34414666168803
Amortized joint surrogate,21,53.777908637311086,53.829763656988106,53.89170730891395,51.948436693672974,1.5273574817864803,1.6887508749034508,53.61738156780516
Amortized joint surrogate,22,53.945500083108584,53.93885644543844,53.803820759754274,52.022823552015666,4.063060004218598,4.1959877490286654,64.0
Amortized joint surrogate,23,54.36290426786607,54.01706087095707,54.061957816220755,51.974663597412395,0.4643732894094157,0.5992713755459234,64.0
Amortized joint surrogate,24,53.85112755475934,46.40224002907371,54.020111081213095,52.60770976497996,3.0275178943806544,2.9450473078911847,54.204344911082075
Amortized joint surrogate,25,53.58797081103737,54.03547115618237,53.67165425182848,51.808588533992236,5.644244858397794,6.049441775413488,64.0
Amortized joint surrogate,26,54.15393503073865,54.18389564378061,53.77949901909192,52.817342884665536,2.0447094367771577,2.460418019852392,53.5443549197653
Amortized joint surrogate,27,53.7318129993779,54.199526979199746,54.804388416714986,53.07018593380415,4.5975679320622564,5.134277359924875,64.0
Amortized joint surrogate,28,52.95640483963857,54.38680757108091,54.74108584820645,50.56536043202259,1.028915642045158,1.6213693297019887,47.77268407706367
Amortized joint surrogate,29,53.206650471519005,54.43716471689827,54.2741447014707,49.69802925356865,3.606391923236796,4.34912625263201,64.0
Amortized joint surrogate,30,53.14415931319953,54.55298608661698,53.82974489804125,49.48371150930694,6.214582406987645,0.8063006424465999,64.0
Amortized joint surrogate,31,53.100075863980216,54.394812387280965,53.94232310358573,49.38672670631595,2.487216771367267,3.4041022402609302,64.0
Amortized joint surrogate,32,52.90383005269381,54.23967239751595,53.71120474803006,49.55980560129947,4.919286484748894,6.069346983579285,62.078188328286
Amortized joint surrogate,33,52.48668526655938,54.21686505651635,53.8439862645234,49.71627213005758,1.1272049452443422,2.3946785208505132,54.73043504284618
Amortized joint surrogate,34,52.832819530575925,54.23754383268926,53.842008402784415,49.821737447273776,3.634000151609873,5.030730879634751,64.0
