seed,architecture,snr_db,channel,achieved_snr_db,mse_frequency,phase_circular_rmse,channel_nmse,particle_ess_mean,unique_ancestor_mean,mala_acceptance,resampling_count,latency_ms_per_sample
0,Analytical joint score,15.0,LOS,15.610281944166598,463.664873234799,1.407414241128319,0.2950830462629048,62.60235013577087,11.842105263157896,0.9706688596491229,57.0,2.12931221666679
0,Amortized joint surrogate,15.0,LOS,15.610281944166598,91.44415159688297,1.0722020054088046,0.13717231310316014,61.51189924760979,21.8,0.6789772727272727,55.0,1.919974683333218
0,Analytical joint score,15.0,MP,14.422894338944115,42.02043902612335,1.0055616873823057,0.2913413913036508,61.5905070063184,20.490909090909092,0.9698863636363636,55.0,1.903808233333848
0,Amortized joint surrogate,15.0,MP,14.422894338944115,145.80981147218338,1.260130621593337,0.352395858025598,62.551744952877605,13.160714285714286,0.5691964285714286,56.0,1.9372423666662069
0,Analytical joint score,15.0,NLOS,14.043559130690628,432.44524692820573,1.879622791413937,0.5437197291953108,64.0,15.1,0.97109375,60.0,1.9210995166664209
0,Amortized joint surrogate,15.0,NLOS,14.043559130690628,206.9326889994846,1.6190168161220964,0.43129178795157735,64.0,11.2,0.5239583333333333,60.0,2.242072183332766
0,Analytical joint score,5.0,LOS,4.40035775498947,22.383228068722843,0.6294636303926433,0.056861719911614046,56.29369679970978,33.47222222222222,0.9761284722222222,36.0,1.248145316666675
0,Amortized joint surrogate,5.0,LOS,4.40035775498947,16.58967040941365,0.4672402558611739,0.0235581564969174,57.173676479198356,33.46153846153846,0.8012820512820513,39.0,1.5029466166671075
0,Analytical joint score,5.0,MP,4.97387332408689,112.77352949673626,1.207319653322299,0.1986775468704281,59.26240253607572,33.11904761904762,0.9773065476190477,42.0,2.0390074000005143
0,Amortized joint surrogate,5.0,MP,4.97387332408689,416.22727848582207,1.5129861861056253,0.1738929182729001,59.25866391559998,32.348837209302324,0.731468023255814,43.0,1.8891265666667323
0,Analytical joint score,5.0,NLOS,5.271934920970428,43.05246969414577,1.4091922243977892,0.3448115580724574,57.63046545553508,35.11764705882353,0.9738051470588235,34.0,1.2793488333329606
0,Amortized joint surrogate,5.0,NLOS,5.271934920970428,79.55679737068165,1.226595279785599,0.2783825634820593,57.829570678331834,34.16216216216216,0.7597128378378378,37.0,1.3941754333330891
0,Analytical joint score,-5.0,LOS,-5.6575112144518735,420.41142940298755,1.614268706132488,0.06975426264369344,58.658892581393104,41.666666666666664,0.9728009259259259,27.0,1.0696156499998704
0,Amortized joint surrogate,-5.0,LOS,-5.6575112144518735,131.12454592268298,1.0928080322642135,0.07359570640087733,56.66240915312333,41.370370370370374,0.7633101851851852,27.0,1.070286483332931
0,Analytical joint score,-5.0,MP,-5.026211544335249,242.36895628036413,1.439317621681554,0.14348857693683328,55.532942933876505,42.333333333333336,0.9703125,30.0,1.573218016667018
0,Amortized joint surrogate,-5.0,MP,-5.026211544335249,278.2909682643217,1.3958693548655512,0.17710274739220644,54.927252320952014,39.964285714285715,0.7410714285714286,28.0,1.137782366666329
0,Analytical joint score,-5.0,NLOS,-4.752849961558353,347.52484710281124,1.7719282940865317,0.17887189684141733,55.674384236162325,43.31818181818182,0.9808238636363636,22.0,1.0081762499993374
0,Amortized joint surrogate,-5.0,NLOS,-4.752849961558353,366.5923806880903,1.6074678359227286,0.25075021372461853,56.053119327936166,42.7,0.74765625,20.0,0.9065052666670681
1,Analytical joint score,15.0,LOS,15.444773542067168,94.43640115652248,1.9971833196793287,0.3535663806479544,62.31707096014107,19.214285714285715,0.9740513392857143,56.0,1.7082060833331525
1,Amortized joint surrogate,15.0,LOS,15.444773542067168,100.33153420878894,1.1234453066317467,0.12027801433612423,61.439476984266264,20.5,0.6287615740740741,54.0,1.7459144333334582
1,Analytical joint score,15.0,MP,14.749416133781274,130.18825620202622,1.1239863116134292,0.2209296187075085,62.72984608591802,25.642857142857142,0.9715401785714286,56.0,1.9035382333328243
1,Amortized joint surrogate,15.0,MP,14.749416133781274,14.759653968861132,0.3819887884459619,0.1604083740028533,60.625631407502546,26.76923076923077,0.6721754807692307,52.0,1.8275605166669113
1,Analytical joint score,15.0,NLOS,15.554932437146057,154.9368411858933,1.9757202669744893,0.940885475409324,63.45243574443347,8.389830508474576,0.9761652542372882,59.0,2.808392816666583
1,Amortized joint surrogate,15.0,NLOS,15.554932437146057,296.5686857621377,1.5398725397932311,0.5928381816155978,64.0,10.683333333333334,0.5434895833333333,60.0,2.0206047833331318
1,Analytical joint score,5.0,LOS,5.428065372959441,539.7944733477406,1.6582155119082218,0.14746151663836707,59.203570987229,34.40909090909091,0.9776278409090909,44.0,1.5615480666667736
1,Amortized joint surrogate,5.0,LOS,5.428065372959441,182.99897384824908,1.1310695605821093,0.12458675173337204,58.922348960372354,32.904761904761905,0.7663690476190477,42.0,1.4631749499992945
1,Analytical joint score,5.0,MP,6.155573628127406,269.63748862518224,1.2045591529229263,0.22006315976204405,59.757944892892574,31.170212765957448,0.9720744680851063,47.0,1.7346024999994825
1,Amortized joint surrogate,5.0,MP,6.155573628127406,154.25118128690556,0.9004001175784001,0.17017782060690032,56.56244111134358,35.02777777777778,0.75390625,36.0,1.502134249999661
1,Analytical joint score,5.0,NLOS,5.262852692648278,506.4841655525563,1.7042427335437613,0.36785216565582435,59.05895026464713,34.38636363636363,0.9765625,44.0,1.619093066667195
1,Amortized joint surrogate,5.0,NLOS,5.262852692648278,192.61983452085528,1.2694741208415996,0.4036217872098423,58.404320611259664,33.8780487804878,0.7442835365853658,41.0,1.760562066666201
1,Analytical joint score,-5.0,LOS,-6.2466072765883265,67.72231804757753,1.1068001123278217,0.06905150417531525,55.34236111206303,40.25,0.9754464285714286,28.0,1.1384376166669579
1,Amortized joint surrogate,-5.0,LOS,-6.2466072765883265,68.68072643819802,1.1069573540928523,0.047837232762294096,55.23166763692941,41.208333333333336,0.7786458333333334,24.0,1.042614450000201
1,Analytical joint score,-5.0,MP,-4.816575762089053,182.07725869176605,1.280193826347397,0.21768070475559062,56.09587469427021,35.04,0.975625,25.0,1.1947865000005702
1,Amortized joint surrogate,-5.0,MP,-4.816575762089053,438.5106683117417,1.6519547883997752,0.22325511479592575,55.49722271920012,39.11538461538461,0.7578125,26.0,1.0932548166664446
1,Analytical joint score,-5.0,NLOS,-5.04515584635932,103.72071050534093,1.4793492215631525,0.2969072040609253,56.858652850762645,39.225806451612904,0.9702620967741935,31.0,1.1496939166666682
1,Amortized joint surrogate,-5.0,NLOS,-5.04515584635932,67.87321166360337,1.164567381168219,0.2620641799893846,56.60786269655162,39.166666666666664,0.7729166666666667,30.0,1.2012901166665795
2,Analytical joint score,15.0,LOS,15.802222041565479,85.91098361151785,1.471707255267869,0.09691246561874663,62.51472059444253,18.017857142857142,0.9698660714285714,56.0,1.7583101666673429
2,Amortized joint surrogate,15.0,LOS,15.802222041565479,97.73028796246979,1.605740551146009,0.237892071255739,63.65804440693862,19.844827586206897,0.6398168103448276,58.0,2.0295829000000745
2,Analytical joint score,15.0,MP,14.536463102104731,392.5013898881735,1.458808757203037,0.26628083452926743,64.0,14.033333333333333,0.96328125,60.0,2.037490049999254
2,Amortized joint surrogate,15.0,MP,14.536463102104731,124.3405241625148,1.2569718792709113,0.36671109698163057,61.648007188356985,15.781818181818181,0.5622159090909091,55.0,1.9449113166672305
2,Analytical joint score,15.0,NLOS,15.112480726416438,377.9893791114934,1.9138072911045245,0.5720986573669237,64.0,12.333333333333334,0.9721354166666667,60.0,1.923170883333114
2,Amortized joint surrogate,15.0,NLOS,15.112480726416438,347.5957842826137,1.820903141514431,0.42435953382712205,64.0,10.728813559322035,0.512447033898305,59.0,2.0628232166662506
2,Analytical joint score,5.0,LOS,4.846600825964698,8.743483628412427,0.37489148149742724,0.055711546398396546,56.609922867726134,34.42857142857143,0.975,35.0,1.2506536000008357
2,Amortized joint surrogate,5.0,LOS,4.846600825964698,9.764397463824492,0.4737676805396513,0.11575079884213564,57.94819892657771,33.54054054054054,0.7571790540540541,37.0,1.3658969666664689
2,Analytical joint score,5.0,MP,5.273950645298635,494.3091272090107,1.4504991907809213,0.1762078301169945,58.13936646290366,35.83783783783784,0.9733952702702703,37.0,1.3735448500000302
2,Amortized joint surrogate,5.0,MP,5.273950645298635,60.07617125776202,0.7177441500331854,0.1105114512590222,56.43642950285123,35.42424242424242,0.7566287878787878,33.0,1.2717194666663545
2,Analytical joint score,5.0,NLOS,4.71309819062112,131.01909097244268,1.613975150206533,0.4078642347615929,59.585124500278596,33.75,0.9836647727272727,44.0,1.7103181999999606
2,Amortized joint surrogate,5.0,NLOS,4.71309819062112,114.0267141739709,1.6306669535583562,0.2154850935887402,57.720765375774754,35.15384615384615,0.7548076923076923,39.0,1.4755406500000845
2,Analytical joint score,-5.0,LOS,-4.4881171406816165,64.00989980264237,1.1344313010509883,0.07678648405564119,57.2894757272115,42.107142857142854,0.9765625,28.0,1.1073046333336833
