architecture,window,true_f1_hz,inferred_f1_hz,true_f2_hz,inferred_f2_hz,ess,acceptance_rate
Analytical score,1,42.0,40.390486030629866,66.0,65.48326210504703,9.515293671639961,0.9363636363636364
Analytical score,2,42.0,41.04082394612534,74.0,73.86395135395536,23.403857658614772,0.7363636363636363
Analytical score,3,42.0,41.3513598091642,74.0,73.76198520426153,15.141707505717466,0.6090909090909091
Analytical score,4,26.0,25.5435745400136,74.0,73.84094212179083,21.275844553483967,0.8363636363636363
Amortized surrogate,1,42.0,40.401653599127094,66.0,64.89104109837623,9.19026754449215,0.8181818181818182
Amortized surrogate,2,42.0,41.04213749128671,74.0,74.01255715018611,23.30692072480977,0.7272727272727273
Amortized surrogate,3,42.0,41.45621989092604,74.0,73.86222216719565,22.658026271846616,0.5818181818181818
Amortized surrogate,4,26.0,25.576790413193166,74.0,73.90849223465297,21.657620836927247,0.8454545454545455
