architecture,snr_db,channel,n,mse_mean,mse_sd,latency_mean_ms,latency_sd_ms,ess_mean,ess_sd,acceptance_mean,achieved_snr_mean
Amortized surrogate,-5.0,LOS,100,119.02886687017747,98.11648365892604,68.0605459075,85.06860146247436,13.870486918119163,5.7453611240316595,0.7852272727272728,-4.928644226164248
Amortized surrogate,-5.0,MP,100,123.21598289007562,109.59273300876791,64.2577016175,29.565635070768298,13.843723730267534,6.007743295883016,0.7916363636363636,-5.0028180147942685
Amortized surrogate,-5.0,NLOS,100,120.50290617308718,88.14786447634796,65.6623472525,38.84622116754449,14.471552552911652,5.991189051719789,0.7894090909090908,-4.975210708266621
Amortized surrogate,5.0,LOS,100,20.62489793003433,36.83852580995522,67.7224875375,48.421126041372695,16.137434409168346,6.339800918972124,0.7906363636363636,4.9591861336407925
Amortized surrogate,5.0,MP,100,14.069826888820844,21.724419701731467,60.34010279,4.912118246851823,15.90712678259669,6.328939061211013,0.79425,4.9693482958227415
Amortized surrogate,5.0,NLOS,100,30.58385553853199,41.65891553349841,60.1209644925,4.9949109929176085,14.034214630284783,5.834427554429346,0.7842045454545454,5.0398796831702075
Amortized surrogate,15.0,LOS,100,9.335317354065022,12.566015186418948,64.5708336675,32.52777651911141,14.034183471703987,5.392039954110304,0.795340909090909,14.916868790731828
Amortized surrogate,15.0,MP,100,15.116089693672745,27.944879085654346,63.0531928375,31.280458357980475,15.051263194008081,5.568075615533644,0.8,15.008846273071827
Amortized surrogate,15.0,NLOS,100,26.162798097405524,36.34159871706349,66.16611458,43.738209689743954,14.959261704663172,6.067492026189571,0.7937727272727273,15.013784481676275
Analytical score,-5.0,LOS,100,116.74541812837491,99.23889476471001,45.968095495,35.515488734253516,14.156010361579554,5.800459609165249,0.8042272727272727,-4.928644226164248
Analytical score,-5.0,MP,100,117.99624870117395,107.24088968882232,44.341106662499996,23.899929762074965,14.707725118836532,6.252401036784967,0.8061363636363637,-5.0028180147942685
Analytical score,-5.0,NLOS,100,119.73505710782806,90.15842543427296,47.3228212375,34.59342575952213,15.809380092775184,5.876340055931507,0.8031136363636364,-4.975210708266621
Analytical score,5.0,LOS,100,18.885146959462123,38.45528226089106,44.192142185,17.130094012178002,16.276292098527,6.019136233357232,0.8094318181818181,4.9591861336407925
Analytical score,5.0,MP,100,12.868806621057777,18.843385173296305,42.5980475025,3.9749314765451205,16.82403146743,6.686028631173791,0.8146590909090909,4.9693482958227415
Analytical score,5.0,NLOS,100,33.06822031648918,39.008465606881764,43.2632117725,10.373794809521879,15.41434209890624,6.404127312778568,0.8017045454545455,5.0398796831702075
Analytical score,15.0,LOS,100,13.903820698885045,22.18663470899433,47.461556744999996,37.34741778382252,14.985376647564442,5.896358210036289,0.8182954545454545,14.916868790731828
Analytical score,15.0,MP,100,16.058512741013683,26.648155751196924,44.1337922175,17.26813676388437,14.986303114839458,5.360899736122218,0.8225681818181818,15.008846273071827
Analytical score,15.0,NLOS,100,29.89524524028522,43.64142966830452,47.0228846,33.53720913181116,14.867891691075107,5.950804189726204,0.8145454545454546,15.013784481676275
