seed,architecture,snr_db,channel,achieved_snr_db,mse_frequency,latency_ms_per_window,ess,acceptance_rate
0,Amortized surrogate,-5.0,LOS,-4.9555216935496995,19.834084472834146,58.12893,30.879042152954874,0.7431818181818182
0,Analytical score,-5.0,LOS,-4.9555216935496995,57.89093688158141,40.5301975,29.025760429848866,0.7931818181818182
0,Amortized surrogate,-5.0,MP,-4.381422569366094,377.93603733309385,55.8008735,7.248488236293852,0.6772727272727272
0,Analytical score,-5.0,MP,-4.381422569366094,446.47105253944903,38.68524875,11.380188677236003,0.715909090909091
0,Amortized surrogate,-5.0,NLOS,-4.549537375148676,58.86104140967296,57.03313175,16.336378559141934,0.7113636363636364
0,Analytical score,-5.0,NLOS,-4.549537375148676,54.76535144077462,39.16006475,12.615819909531286,0.7909090909090909
0,Amortized surrogate,5.0,LOS,5.044906511787383,10.651485785514545,57.1634,23.52523831265275,0.7272727272727273
0,Analytical score,5.0,LOS,5.044906511787383,18.574519372097132,39.614985,18.739991540375918,0.7977272727272727
0,Amortized surrogate,5.0,MP,4.214866109718961,1.3010797235035103,57.62285625,19.203208844518947,0.7431818181818182
0,Analytical score,5.0,MP,4.214866109718961,1.126772488849323,40.843608,17.33417584736404,0.7795454545454547
0,Amortized surrogate,5.0,NLOS,5.0411007553619385,14.393008127183599,58.2160185,13.249194942588764,0.7727272727272727
0,Analytical score,5.0,NLOS,5.0411007553619385,14.288488451625817,41.6809105,19.20817517230053,0.7863636363636364
0,Amortized surrogate,15.0,LOS,14.857532780756465,1.1635656590406032,55.9642555,15.899235565632141,0.7931818181818182
0,Analytical score,15.0,LOS,14.857532780756465,21.412291456982327,42.98670025,9.01132486987999,0.8409090909090909
0,Amortized surrogate,15.0,MP,14.558480446007696,16.254346991472175,72.1448525,20.154552222026123,0.7977272727272727
0,Analytical score,15.0,MP,14.558480446007696,16.335870175095128,42.969883,20.540864460496877,0.8204545454545453
0,Amortized surrogate,15.0,NLOS,15.040817520673244,11.463386118719809,59.978219,9.337159495426667,0.7863636363636364
